Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:53:38885200,310.848,302.2836,301.9664,296.94,177.392955,1092,acq500
26/10/2022 16:53:39883600,310.8724,302.4056,301.9908,296.8424,172.764355,1091,acq500
26/10/2022 16:53:40882000,310.8236,302.5276,301.9908,296.818,175.541515,1091,acq500
26/10/2022 16:53:41880400,310.8724,302.6252,301.9664,296.94,173.690075,1091,acq500
26/10/2022 16:53:42878800,310.848,302.5276,301.942,296.8424,173.690075,1093,acq500
26/10/2022 16:53:43877200,310.8724,302.3568,301.9664,296.9156,176.467235,1091,acq500
26/10/2022 16:53:44875600,310.848,302.3812,301.9664,296.94,175.541515,1087,acq500
26/10/2022 16:53:45874000,310.7504,302.3324,301.8444,296.94,177.392955,1086,acq500
26/10/2022 16:53:46872400,310.848,302.2104,301.9664,296.9156,176.467235,1086,acq500
26/10/2022 16:53:47870800,310.848,302.3568,301.9664,296.8424,176.467235,1084,acq500
26/10/2022 16:53:48869200,310.8236,302.5276,301.9664,296.8424,175.541515,1084,acq500
26/10/2022 16:53:49883200,310.848,302.5276,301.9664,296.9156,173.690075,1083,acq500
26/10/2022 16:53:50866000,310.8724,302.2348,301.8444,296.9644,173.690075,1083,acq500
26/10/2022 16:53:51880000,310.848,302.2836,301.8444,296.9156,173.690075,1086,acq500
26/10/2022 16:53:53174800,310.848,302.3568,301.9664,296.94,173.690075,1084,acq500
26/10/2022 16:53:53876800,310.8968,302.3568,301.9664,296.94,175.541515,1087,acq500
26/10/2022 16:53:54890800,310.8968,302.3324,301.9664,296.94,175.541515,1091,acq500
26/10/2022 16:53:55889200,310.8236,302.3568,301.9908,296.9156,176.467235,1092,acq500
26/10/2022 16:53:56903200,310.848,302.3324,301.942,296.94,175.541515,1092,acq500
26/10/2022 16:53:57906600,310.8236,302.2348,301.9664,296.8424,172.764355,1093,acq500
26/10/2022 16:53:58951800,310.8968,302.1616,301.9664,296.818,175.541515,1091,acq500
26/10/2022 16:53:59939400,310.848,302.3568,301.9664,296.8424,173.690075,1087,acq500
26/10/2022 16:54:00895400,310.848,302.3568,301.9664,296.94,173.690075,1089,acq500
26/10/2022 16:54:01879400,310.8724,302.3568,301.9664,296.94,176.467235,1088,acq500
26/10/2022 16:54:02893400,310.8724,302.3568,301.9664,296.94,176.467235,1084,acq500
26/10/2022 16:54:03928400,310.8724,302.4056,301.942,296.94,173.690075,1087,acq500
26/10/2022 16:54:04925400,310.8968,302.5276,301.9664,296.9156,177.392955,1088,acq500
26/10/2022 16:54:06212600,310.8968,302.4056,301.9664,296.9156,175.541515,1089,acq500
26/10/2022 16:54:06908800,310.8724,302.4056,301.9664,296.94,177.392955,1092,acq500
26/10/2022 16:54:08499800,310.8236,302.3568,301.9664,296.94,177.392955,1091,acq500
26/10/2022 16:54:08904800,310.8724,302.4056,301.9664,296.94,176.467235,1091,acq500
26/10/2022 16:54:09905800,310.8724,302.5032,301.9664,296.94,175.541515,1092,acq500
26/10/2022 16:54:12405800,310.8724,302.2348,301.9664,296.94,176.467235,1088,acq500
26/10/2022 16:54:13207800,310.9456,302.1616,301.9664,296.94,175.541515,1084,acq500
26/10/2022 16:54:14405000,310.8724,302.1616,301.9664,296.8424,173.690075,1084,acq500
26/10/2022 16:54:15952400,310.8968,302.4056,301.9664,296.94,171.838635,1088,acq500
26/10/2022 16:54:17885400,310.8724,302.2836,301.9908,296.8912,175.541515,1091,acq500
26/10/2022 16:54:19026400,310.8724,302.4056,301.942,296.8424,175.541515,1092,acq500
26/10/2022 16:54:20273400,310.8724,302.5032,301.9664,296.8424,176.467235,1092,acq500
26/10/2022 16:54:21174400,310.8968,302.3568,301.9664,296.9156,175.541515,1092,acq500
26/10/2022 16:54:22011400,310.8968,302.4056,301.9664,296.94,176.467235,1091,acq500
26/10/2022 16:54:23022400,310.8968,302.3568,301.9664,296.94,178.318675,1089,acq500
26/10/2022 16:54:24043400,310.8968,302.4056,301.9664,296.94,176.467235,1089,acq500
26/10/2022 16:54:25099400,310.8724,302.3812,301.9908,296.94,173.690075,1089,acq500
26/10/2022 16:54:25986400,310.8968,302.3812,301.9908,296.94,172.764355,1091,acq500
26/10/2022 16:54:27388400,310.8724,302.4056,301.9664,296.8912,175.541515,1089,acq500
26/10/2022 16:54:28116400,310.8968,302.5032,301.9664,296.8424,173.690075,1088,acq500
26/10/2022 16:54:28982400,310.8724,302.6496,301.9664,296.8424,173.690075,1089,acq500
26/10/2022 16:54:30068000,310.8968,302.4544,301.9664,296.8424,175.541515,1086,acq500
26/10/2022 16:54:31387200,310.8724,302.3568,301.9664,296.9156,176.467235,1086,acq500
26/10/2022 16:54:32009200,310.848,302.4056,301.9664,296.94,175.541515,1086,acq500
26/10/2022 16:54:32984200,310.8236,302.4056,301.942,296.9644,172.764355,1089,acq500
26/10/2022 16:54:34057200,310.8968,302.4056,301.9664,296.8912,176.467235,1091,acq500
26/10/2022 16:54:35000200,310.8968,302.5032,301.8932,296.94,177.392955,1089,acq500
