Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:55:00964000,37.698000000,29.231200000,28.694400000,23.692400000,176.467235000,1088.000000000,acq500
26/10/2022 16:55:01978000,37.673600000,29.206800000,28.694400000,23.765600000,176.467235000,1088.000000000,acq500
26/10/2022 16:55:02976400,37.600400000,29.206800000,28.694400000,23.790000000,176.467235000,1091.000000000,acq500
26/10/2022 16:55:03974800,37.576000000,29.206800000,28.816400000,23.790000000,176.467235000,1091.000000000,acq500
26/10/2022 16:55:09965200,37.551600000,28.645600000,29.084800000,23.692400000,236.639035000,1088.000000000,acq500
26/10/2022 16:55:10979200,37.698000000,28.645600000,29.328800000,23.668000000,238.490475000,1087.000000000,acq500
26/10/2022 16:55:11977600,37.698000000,28.718800000,29.450800000,23.741200000,241.267635000,1088.000000000,acq500
26/10/2022 16:55:12976000,37.673600000,28.767600000,29.548400000,23.668000000,240.341915000,1089.000000000,acq500
26/10/2022 16:55:18966400,37.698000000,29.182400000,29.768000000,23.790000000,247.747675000,1089.000000000,acq500
26/10/2022 16:55:24972400,37.673600000,29.499600000,29.865600000,23.741200000,247.747675000,1087.000000000,acq500
26/10/2022 16:55:25986400,37.673600000,29.548400000,29.890000000,23.765600000,247.747675000,1087.000000000,acq500
26/10/2022 16:55:31976800,37.722400000,29.353200000,29.890000000,23.668000000,250.524835000,1081.000000000,acq500
26/10/2022 16:55:32990800,37.698000000,29.206800000,29.890000000,23.765600000,251.450555000,1086.000000000,acq500
26/10/2022 16:55:33989200,37.698000000,29.499600000,29.865600000,23.765600000,249.599115000,1086.000000000,acq500
26/10/2022 16:55:34987600,37.698000000,29.426400000,29.865600000,23.668000000,250.524835000,1087.000000000,acq500
26/10/2022 16:55:35986000,37.673600000,29.255600000,29.865600000,23.765600000,251.450555000,1084.000000000,acq500
26/10/2022 16:55:36984400,37.698000000,29.255600000,29.890000000,23.790000000,249.599115000,1086.000000000,acq500
26/10/2022 16:55:37998400,37.698000000,29.475200000,29.938800000,23.790000000,249.599115000,1084.000000000,acq500
26/10/2022 16:55:38996800,37.673600000,29.499600000,29.938800000,23.765600000,249.599115000,1082.000000000,acq500
26/10/2022 16:55:39995200,37.673600000,29.548400000,29.938800000,23.790000000,249.599115000,1083.000000000,acq500
26/10/2022 16:55:40993600,37.698000000,29.450800000,29.914400000,23.790000000,250.524835000,1082.000000000,acq500
26/10/2022 16:55:41992000,37.673600000,29.548400000,29.987600000,23.692400000,249.599115000,1082.000000000,acq500
26/10/2022 16:55:42990400,37.673600000,29.548400000,29.987600000,23.790000000,250.524835000,1083.000000000,acq500
26/10/2022 16:55:43988800,37.600400000,29.499600000,29.938800000,23.692400000,250.524835000,1084.000000000,acq500
26/10/2022 16:55:45002800,37.576000000,29.353200000,29.938800000,23.692400000,251.450555000,1084.000000000,acq500
26/10/2022 16:55:46001200,37.576000000,29.255600000,29.938800000,23.692400000,251.450555000,1086.000000000,acq500
26/10/2022 16:55:46984000,37.576000000,29.231200000,29.890000000,23.692400000,252.376275000,1084.000000000,acq500
26/10/2022 16:55:47998000,37.551600000,29.353200000,29.890000000,23.790000000,243.119075000,1084.000000000,acq500
26/10/2022 16:55:48996400,37.551600000,29.377600000,29.890000000,23.790000000,251.450555000,1086.000000000,acq500
26/10/2022 16:55:49994800,37.551600000,29.353200000,29.890000000,23.668000000,251.450555000,1084.000000000,acq500
26/10/2022 16:55:50993200,37.576000000,29.377600000,29.890000000,23.668000000,251.450555000,1087.000000000,acq500
