Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:52:27874000,310.9456,302.5032,302.064,296.9156,450.542955,1357.15,acq500
26/10/2022 16:52:28872400,310.8968,302.5276,302.0152,296.9156,448.691515,1359.15,acq500
26/10/2022 16:52:29870800,310.8968,302.5276,302.0152,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:30869200,310.8968,302.4056,302.0152,296.8424,450.542955,1360.15,acq500
26/10/2022 16:52:31883200,310.8968,302.5032,301.9908,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:32881600,310.8968,302.5032,302.064,296.8424,446.840075,1355.15,acq500
26/10/2022 16:52:33880000,310.8724,302.5032,302.064,296.8424,448.691515,1354.15,acq500
26/10/2022 16:52:34878400,310.8968,302.5032,302.064,296.8424,449.617235,1354.15,acq500
26/10/2022 16:52:35876800,310.8724,302.6984,302.0152,296.8424,446.840075,1356.15,acq500
26/10/2022 16:52:36875200,310.9456,302.6984,302.064,296.818,446.840075,1356.15,acq500
26/10/2022 16:52:37873600,310.8968,302.5032,302.0152,296.9156,446.840075,1356.15,acq500
26/10/2022 16:52:38872000,310.8968,302.5032,302.064,296.818,450.542955,1355.15,acq500
26/10/2022 16:52:39870400,310.8968,302.5276,302.0152,296.8424,451.468675,1354.15,acq500
26/10/2022 16:52:40868800,310.8968,302.5032,301.9908,296.818,450.542955,1357.15,acq500
26/10/2022 16:52:41882800,310.97,302.5032,301.9908,296.9156,451.468675,1356.15,acq500
26/10/2022 16:52:42881200,310.8724,302.5032,301.9908,296.8424,451.468675,1357.15,acq500
26/10/2022 16:52:43879600,310.9456,302.5032,301.9908,296.8424,449.617235,1357.15,acq500
26/10/2022 16:52:44878000,310.9456,302.5032,301.9908,296.8424,450.542955,1359.15,acq500
26/10/2022 16:52:45876400,310.9456,302.5276,301.8932,296.94,451.468675,1360.15,acq500
26/10/2022 16:52:46874800,310.8724,302.5032,301.9664,296.94,450.542955,1357.15,acq500
26/10/2022 16:52:47873200,310.8724,302.4056,301.9908,296.9156,450.542955,1356.15,acq500
26/10/2022 16:52:48871600,310.9456,302.5032,301.9664,296.8424,449.617235,1359.15,acq500
26/10/2022 16:52:49870000,310.8968,302.4788,301.9664,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:50884000,310.8968,302.3324,302.064,296.818,450.542955,1359.15,acq500
26/10/2022 16:52:51882400,310.9456,302.2348,301.9664,296.8424,450.542955,1359.15,acq500
26/10/2022 16:52:52880800,310.8968,302.3324,301.9908,296.818,451.468675,1356.15,acq500
26/10/2022 16:52:53879200,310.8724,302.3324,301.9664,296.818,451.468675,1357.15,acq500
26/10/2022 16:52:54877600,310.8968,302.3812,301.9908,296.8424,451.468675,1356.15,acq500
26/10/2022 16:52:55876000,310.8724,302.2836,301.9908,296.818,451.468675,1355.15,acq500
26/10/2022 16:52:56874400,310.8968,302.4056,301.9664,296.818,451.468675,1357.15,acq500
26/10/2022 16:52:57872800,310.9456,302.4788,301.942,296.8424,450.542955,1359.15,acq500
26/10/2022 16:52:58871200,310.8724,302.5032,302.064,296.818,450.542955,1357.15,acq500
26/10/2022 16:52:59869600,310.8724,302.5276,301.9664,296.9156,451.468675,1355.15,acq500
26/10/2022 16:53:00883600,310.8724,302.5276,301.942,296.818,448.691515,1357.15,acq500
26/10/2022 16:53:01882000,310.8724,302.5276,301.942,296.7936,445.914355,1357.15,acq500
26/10/2022 16:53:02880400,310.8968,302.5032,301.9908,296.8424,444.988635,1359.15,acq500
26/10/2022 16:53:03878800,310.8968,302.5032,301.8444,296.8424,449.617235,1360.15,acq500
26/10/2022 16:53:04877200,310.8968,302.5276,301.9664,296.818,448.691515,1359.15,acq500
26/10/2022 16:53:05875600,310.8968,302.4056,301.9908,296.8424,449.617235,1360.15,acq500
26/10/2022 16:53:06874000,310.8724,302.5032,302.064,296.7692,451.468675,1359.15,acq500
26/10/2022 16:53:07888000,310.8724,302.5276,301.9664,296.7936,453.320115,1357.15,acq500
26/10/2022 16:53:08886400,310.848,302.5032,301.9664,296.8424,454.245835,1361.15,acq500
26/10/2022 16:53:09884800,310.8968,302.5276,301.9664,296.7692,454.245835,1362.15,acq500
26/10/2022 16:53:10883200,310.8968,302.3812,301.9664,296.818,450.542955,1360.15,acq500
26/10/2022 16:53:11881600,310.9944,302.5276,301.9664,296.94,449.617235,1360.15,acq500
26/10/2022 16:53:12880000,311.0432,302.5032,301.9664,296.818,450.542955,1361.15,acq500
26/10/2022 16:53:13878400,310.9456,302.5032,301.9664,296.94,446.840075,1362.15,acq500
26/10/2022 16:53:14876800,310.8968,302.3324,301.942,296.9156,448.691515,1357.15,acq500
26/10/2022 16:53:15875200,311.0432,302.4056,301.9908,296.8424,448.691515,1356.15,acq500
26/10/2022 16:53:16873600,310.97,302.2836,301.9664,296.818,444.988635,1360.15,acq500
26/10/2022 16:53:17872000,311.0432,302.2348,301.9664,296.8424,449.617235,1361.15,acq500
26/10/2022 16:53:18870400,310.9944,302.3812,301.9664,296.8424,448.691515,1359.15,acq500
26/10/2022 16:53:19884400,310.9456,302.5032,301.9664,296.818,448.691515,1360.15,acq500
26/10/2022 16:53:20882800,310.9456,302.5276,301.942,296.94,448.691515,1361.15,acq500
26/10/2022 16:53:21881200,310.8968,302.5276,301.942,296.8424,449.617235,1364.15,acq500
26/10/2022 16:53:22879600,310.8968,302.4788,301.9664,296.818,449.617235,1362.15,acq500
26/10/2022 16:53:23878000,310.9456,302.4056,301.9664,296.8424,449.617235,1361.15,acq500
26/10/2022 16:53:24876400,310.9456,302.3568,301.942,296.8424,448.691515,1362.15,acq500
26/10/2022 16:53:25874800,310.8968,302.2836,301.8444,296.8912,449.617235,1361.15,acq500
26/10/2022 16:53:26935600,310.848,302.3324,301.8444,296.8424,449.617235,1364.15,acq500
26/10/2022 16:53:27887200,310.848,302.2836,301.9664,296.818,451.468675,1366.15,acq500
26/10/2022 16:53:28885600,310.7748,302.5276,301.9664,296.818,450.542955,1361.15,acq500
26/10/2022 16:53:29884000,310.9456,302.2348,301.9664,296.9156,449.617235,1362.15,acq500
26/10/2022 16:53:30882400,310.8968,302.3324,302.0152,296.9156,448.691515,1361.15,acq500
26/10/2022 16:53:31943200,310.8724,302.1372,301.9664,296.9644,446.840075,1360.15,acq500
26/10/2022 16:53:32941600,310.8236,302.2348,301.9664,296.7936,444.062915,1362.15,acq500
26/10/2022 16:53:33877600,310.848,302.2592,301.942,296.94,446.840075,1361.15,acq500
26/10/2022 16:53:34876000,310.8968,302.4788,301.942,296.9644,448.691515,1360.15,acq500
