Data,T1,T2,T3,T4,F1,F2,Amostra
27/10/2022 20:17:13222600,38.918000000,32.110400000,34.989600000,22.521200000,204.238835000,350.000000000,1000V9
27/10/2022 20:17:14158600,38.991200000,32.427600000,35.087200000,22.496800000,203.313115000,349.000000000,1000V9
27/10/2022 20:17:15141400,38.991200000,32.671600000,35.062800000,22.496800000,203.313115000,349.000000000,1000V9
27/10/2022 20:17:16155400,38.991200000,32.452000000,35.062800000,22.496800000,201.461675000,349.000000000,1000V9
27/10/2022 20:17:17153800,38.966800000,32.574000000,34.989600000,22.496800000,201.461675000,350.000000000,1000V9
27/10/2022 20:17:18136600,38.966800000,32.769200000,35.087200000,22.521200000,199.610235000,349.000000000,1000V9
27/10/2022 20:17:19135000,38.966800000,32.769200000,35.062800000,22.496800000,203.313115000,350.000000000,1000V9
27/10/2022 20:17:20164600,38.991200000,32.500800000,35.062800000,22.570000000,200.535955000,351.000000000,1000V9
27/10/2022 20:17:21194200,38.991200000,32.622800000,35.062800000,22.496800000,201.461675000,349.000000000,1000V9
27/10/2022 20:17:22192600,38.991200000,32.452000000,35.087200000,22.521200000,200.535955000,345.000000000,1000V9
27/10/2022 20:17:23393800,38.991200000,32.208000000,35.184800000,22.521200000,203.313115000,349.000000000,1000V9
27/10/2022 20:17:24158200,38.918000000,32.281200000,35.160400000,22.521200000,203.313115000,347.000000000,1000V9
27/10/2022 20:17:25156600,38.991200000,32.281200000,35.087200000,22.521200000,205.164555000,350.000000000,1000V9
27/10/2022 20:17:26139400,38.918000000,32.305600000,35.184800000,22.521200000,201.461675000,349.000000000,1000V9
27/10/2022 20:17:27153400,39.015600000,32.330000000,35.184800000,22.521200000,200.535955000,349.000000000,1000V9
27/10/2022 20:17:28151800,38.991200000,32.671600000,35.062800000,22.521200000,203.313115000,350.000000000,1000V9
27/10/2022 20:17:29150200,39.015600000,32.769200000,35.111600000,22.496800000,201.461675000,349.000000000,1000V9
27/10/2022 20:17:30195400,39.015600000,32.647200000,35.184800000,22.521200000,200.535955000,349.000000000,1000V9
27/10/2022 20:17:36248200,38.991200000,32.330000000,35.306800000,22.521200000,212.570315000,351.000000000,1000V9
27/10/2022 20:17:37293400,38.869200000,32.305600000,35.184800000,22.496800000,208.867435000,352.000000000,1000V9
27/10/2022 20:17:38276200,38.991200000,32.159200000,35.209200000,22.521200000,208.867435000,349.000000000,1000V9
27/10/2022 20:17:39274600,38.991200000,32.330000000,35.306800000,22.570000000,209.793155000,350.000000000,1000V9
27/10/2022 20:17:40257400,38.991200000,32.427600000,35.306800000,22.570000000,210.718875000,350.000000000,1000V9
27/10/2022 20:17:41287000,38.991200000,32.452000000,35.306800000,22.521200000,210.718875000,350.000000000,1000V9
27/10/2022 20:17:42316600,38.918000000,32.622800000,35.331200000,22.496800000,210.718875000,351.000000000,1000V9
27/10/2022 20:17:43268200,38.991200000,32.647200000,35.331200000,22.521200000,209.793155000,352.000000000,1000V9
27/10/2022 20:17:44266600,38.966800000,32.647200000,35.306800000,22.521200000,210.718875000,350.000000000,1000V9
27/10/2022 20:17:45265000,39.040000000,32.525200000,35.306800000,22.521200000,209.793155000,346.000000000,1000V9
27/10/2022 20:17:46294600,38.991200000,32.574000000,35.306800000,22.521200000,208.867435000,350.000000000,1000V9
27/10/2022 20:17:47277400,38.991200000,32.769200000,35.306800000,22.496800000,206.090275000,346.000000000,1000V9
27/10/2022 20:17:48291400,39.015600000,32.769200000,35.355600000,22.521200000,209.793155000,347.000000000,1000V9
27/10/2022 20:17:49274200,38.991200000,32.744800000,35.331200000,22.521200000,209.793155000,346.000000000,1000V9
27/10/2022 20:17:50288200,38.991200000,32.744800000,35.331200000,22.496800000,208.867435000,346.000000000,1000V9
27/10/2022 20:17:51271000,38.991200000,32.452000000,35.331200000,22.521200000,209.793155000,349.000000000,1000V9
27/10/2022 20:17:52269400,38.991200000,32.622800000,35.331200000,22.521200000,209.793155000,349.000000000,1000V9
27/10/2022 20:17:53283400,38.966800000,32.427600000,35.355600000,22.521200000,208.867435000,349.000000000,1000V9
27/10/2022 20:17:54250600,38.991200000,32.647200000,35.355600000,22.570000000,210.718875000,350.000000000,1000V9
27/10/2022 20:17:55264600,38.966800000,32.915600000,35.355600000,22.618800000,212.570315000,347.000000000,1000V9
27/10/2022 20:17:56278600,38.966800000,32.866800000,35.355600000,22.594400000,213.496035000,350.000000000,1000V9
27/10/2022 20:17:57277000,38.966800000,32.671600000,35.355600000,22.521200000,212.570315000,350.000000000,1000V9
27/10/2022 20:17:58275400,38.918000000,32.452000000,35.355600000,22.521200000,210.718875000,350.000000000,1000V9
27/10/2022 20:17:59273800,38.966800000,32.549600000,35.355600000,22.496800000,209.793155000,350.000000000,1000V9
27/10/2022 20:18:00287800,38.966800000,32.549600000,35.355600000,22.521200000,212.570315000,349.000000000,1000V9
27/10/2022 20:18:01255000,38.966800000,32.452000000,35.355600000,22.496800000,210.718875000,349.000000000,1000V9
27/10/2022 20:18:02269000,38.966800000,32.671600000,35.355600000,22.521200000,209.793155000,349.000000000,1000V9
27/10/2022 20:18:03267400,38.966800000,32.769200000,35.404400000,22.496800000,210.718875000,350.000000000,1000V9
27/10/2022 20:18:09289000,38.991200000,32.061600000,35.355600000,22.618800000,219.976075000,350.000000000,1000V9
27/10/2022 20:18:10303000,38.918000000,32.086000000,35.355600000,22.472400000,219.976075000,350.000000000,1000V9
